Fraction,Population,Recruitment Duration,Release Duration
0.9804194074273123,Active,0.01,0.01
4.946229463018385e-5,Irreversibly Silent,0.01,0.01
0.9818306588088983,Active,0.01,0.11
4.946229463018385e-5,Irreversibly Silent,0.01,0.11
0.9831399380857712,Active,0.01,0.21
4.946229463018385e-5,Irreversibly Silent,0.01,0.21
0.9843546133961718,Active,0.01,0.31
4.946229463018385e-5,Irreversibly Silent,0.01,0.31
0.9854815203596295,Active,0.01,0.41
4.946229463018385e-5,Irreversibly Silent,0.01,0.41
0.9865270008254045,Active,0.01,0.51
4.946229463018385e-5,Irreversibly Silent,0.01,0.51
0.9874969387995695,Active,0.01,0.61
4.946229463018385e-5,Irreversibly Silent,0.01,0.61
0.9883967923914598,Active,0.01,0.71
4.946229463018385e-5,Irreversibly Silent,0.01,0.71
0.9892316253581345,Active,0.01,0.81
4.946229463018385e-5,Irreversibly Silent,0.01,0.81
0.9900061347503335,Active,0.01,0.91
4.946229463018385e-5,Irreversibly Silent,0.01,0.91
0.9907246822875408,Active,0.01,1.01
4.946229463018385e-5,Irreversibly Silent,0.01,1.01
0.9913913104298921,Active,0.01,1.11
4.946229463018385e-5,Irreversibly Silent,0.01,1.11
0.992009770269292,Active,0.01,1.21
4.946229463018385e-5,Irreversibly Silent,0.01,1.21
0.9925835419111978,Active,0.01,1.31
4.946229463018385e-5,Irreversibly Silent,0.01,1.31
0.9931158531721326,Active,0.01,1.41
4.946229463018385e-5,Irreversibly Silent,0.01,1.41
0.9936097007060352,Active,0.01,1.51
4.946229463018385e-5,Irreversibly Silent,0.01,1.51
0.9940678674807252,Active,0.01,1.61
4.946229463018385e-5,Irreversibly Silent,0.01,1.61
0.9944929287039503,Active,0.01,1.71
4.946229463018385e-5,Irreversibly Silent,0.01,1.71
0.9948872763448122,Active,0.01,1.81
4.946229463018385e-5,Irreversibly Silent,0.01,1.81
0.995253129182732,Active,0.01,1.91
4.946229463018385e-5,Irreversibly Silent,0.01,1.91
0.9955925448262275,Active,0.01,2.01
4.946229463018385e-5,Irreversibly Silent,0.01,2.01
0.9959074305298103,Active,0.01,2.11
4.946229463018385e-5,Irreversibly Silent,0.01,2.11
0.9961995703466813,Active,0.01,2.21
4.946229463018385e-5,Irreversibly Silent,0.01,2.21
0.9964706021684305,Active,0.01,2.31
4.946229463018385e-5,Irreversibly Silent,0.01,2.31
0.9967220501430103,Active,0.01,2.41
4.946229463018385e-5,Irreversibly Silent,0.01,2.41
0.9969553291776527,Active,0.01,2.51
4.946229463018385e-5,Irreversibly Silent,0.01,2.51
0.9971717516010776,Active,0.01,2.61
4.946229463018385e-5,Irreversibly Silent,0.01,2.61
0.9973725341792665,Active,0.01,2.71
4.946229463018385e-5,Irreversibly Silent,0.01,2.71
0.9975588043939712,Active,0.01,2.81
4.946229463018385e-5,Irreversibly Silent,0.01,2.81
0.9977316168347677,Active,0.01,2.91
4.946229463018385e-5,Irreversibly Silent,0.01,2.91
0.9978919483206196,Active,0.01,3.01
4.946229463018385e-5,Irreversibly Silent,0.01,3.01
0.9980406948039782,Active,0.01,3.11
4.946229463018385e-5,Irreversibly Silent,0.01,3.11
0.998178693324797,Active,0.01,3.21
4.946229463018385e-5,Irreversibly Silent,0.01,3.21
0.998306720301082,Active,0.01,3.31
4.946229463018385e-5,Irreversibly Silent,0.01,3.31
0.9984254957222595,Active,0.01,3.41
4.946229463018385e-5,Irreversibly Silent,0.01,3.41
0.9985356869182729,Active,0.01,3.51
4.946229463018385e-5,Irreversibly Silent,0.01,3.51
0.9986379119044066,Active,0.01,3.61
4.946229463018385e-5,Irreversibly Silent,0.01,3.61
0.9987327480798098,Active,0.01,3.71
4.946229463018385e-5,Irreversibly Silent,0.01,3.71
0.998820741312474,Active,0.01,3.81
4.946229463018385e-5,Irreversibly Silent,0.01,3.81
0.9989023764585828,Active,0.01,3.91
4.946229463018385e-5,Irreversibly Silent,0.01,3.91
0.9989781129127374,Active,0.01,4.01
4.946229463018385e-5,Irreversibly Silent,0.01,4.01
0.9990483768169134,Active,0.01,4.11
4.946229463018385e-5,Irreversibly Silent,0.01,4.11
0.9991135633765161,Active,0.01,4.21
4.946229463018385e-5,Irreversibly Silent,0.01,4.21
0.9991740389479982,Active,0.01,4.31
4.946229463018385e-5,Irreversibly Silent,0.01,4.31
0.9992301428980336,Active,0.01,4.41
4.946229463018385e-5,Irreversibly Silent,0.01,4.41
0.9992821892342543,Active,0.01,4.51
4.946229463018385e-5,Irreversibly Silent,0.01,4.51
0.9993304718982763,Active,0.01,4.61
4.946229463018385e-5,Irreversibly Silent,0.01,4.61
0.9993752756917214,Active,0.01,4.71
4.946229463018385e-5,Irreversibly Silent,0.01,4.71
0.9994168421182873,Active,0.01,4.81
4.946229463018385e-5,Irreversibly Silent,0.01,4.81
0.9994554050905343,Active,0.01,4.91
4.946229463018385e-5,Irreversibly Silent,0.01,4.91
0.9994911815920081,Active,0.01,5.01
4.946229463018385e-5,Irreversibly Silent,0.01,5.01
0.811396838965883,Active,0.11,0.01
0.0053838324180647355,Irreversibly Silent,0.11,0.01
0.8246356288854376,Active,0.11,0.11
0.0053838324180647355,Irreversibly Silent,0.11,0.11
0.836917830000844,Active,0.11,0.21
0.0053838324180647355,Irreversibly Silent,0.11,0.21
0.848312561978744,Active,0.11,0.31
0.0053838324180647355,Irreversibly Silent,0.11,0.31
0.8588839489526808,Active,0.11,0.41
0.0053838324180647355,Irreversibly Silent,0.11,0.41
0.8686914836186536,Active,0.11,0.51
0.0053838324180647355,Irreversibly Silent,0.11,0.51
0.8777903622435967,Active,0.11,0.61
0.0053838324180647355,Irreversibly Silent,0.11,0.61
0.8862317871190742,Active,0.11,0.71
0.0053838324180647355,Irreversibly Silent,0.11,0.71
0.8940632604883479,Active,0.11,0.81
0.0053838324180647355,Irreversibly Silent,0.11,0.81
0.9013288447982354,Active,0.11,0.91
0.0053838324180647355,Irreversibly Silent,0.11,0.91
0.9080694615112275,Active,0.11,1.01
0.0053838324180647355,Irreversibly Silent,0.11,1.01
0.9143230246800794,Active,0.11,1.11
0.0053838324180647355,Irreversibly Silent,0.11,1.11
0.9201247262337974,Active,0.11,1.21
0.0053838324180647355,Irreversibly Silent,0.11,1.21
0.9255072120052953,Active,0.11,1.31
0.0053838324180647355,Irreversibly Silent,0.11,1.31
0.9305007602246159,Active,0.11,1.41
0.0053838324180647355,Irreversibly Silent,0.11,1.41
0.9351334977937071,Active,0.11,1.51
0.0053838324180647355,Irreversibly Silent,0.11,1.51
0.9394315081225028,Active,0.11,1.61
0.0053838324180647355,Irreversibly Silent,0.11,1.61
0.9434189589365856,Active,0.11,1.71
0.0053838324180647355,Irreversibly Silent,0.11,1.71
0.9471182885932996,Active,0.11,1.81
0.0053838324180647355,Irreversibly Silent,0.11,1.81
0.9505503100283601,Active,0.11,1.91
0.0053838324180647355,Irreversibly Silent,0.11,1.91
0.9537343229168576,Active,0.11,2.01
0.0053838324180647355,Irreversibly Silent,0.11,2.01
0.9566882418360674,Active,0.11,2.11
0.0053838324180647355,Irreversibly Silent,0.11,2.11
0.959428781519867,Active,0.11,2.21
0.0053838324180647355,Irreversibly Silent,0.11,2.21
0.9619712993010406,Active,0.11,2.31
0.0053838324180647355,Irreversibly Silent,0.11,2.31
0.9643301030428488,Active,0.11,2.41
0.0053838324180647355,Irreversibly Silent,0.11,2.41
0.9665184650968716,Active,0.11,2.51
0.0053838324180647355,Irreversibly Silent,0.11,2.51
0.9685486945565143,Active,0.11,2.61
0.0053838324180647355,Irreversibly Silent,0.11,2.61
0.9704322024338077,Active,0.11,2.71
0.0053838324180647355,Irreversibly Silent,0.11,2.71
0.972179560522715,Active,0.11,2.81
0.0053838324180647355,Irreversibly Silent,0.11,2.81
0.9738007515271904,Active,0.11,2.91
0.0053838324180647355,Irreversibly Silent,0.11,2.91
0.9753048009032764,Active,0.11,3.01
0.0053838324180647355,Irreversibly Silent,0.11,3.01
0.9767001726955931,Active,0.11,3.11
0.0053838324180647355,Irreversibly Silent,0.11,3.11
0.9779947185997975,Active,0.11,3.21
0.0053838324180647355,Irreversibly Silent,0.11,3.21
0.9791957209062995,Active,0.11,3.31
0.0053838324180647355,Irreversibly Silent,0.11,3.31
0.9803099313244902,Active,0.11,3.41
0.0053838324180647355,Irreversibly Silent,0.11,3.41
0.9813436056874838,Active,0.11,3.51
0.0053838324180647355,Irreversibly Silent,0.11,3.51
0.9823025345373728,Active,0.11,3.61
0.0053838324180647355,Irreversibly Silent,0.11,3.61
0.9831922738617694,Active,0.11,3.71
0.0053838324180647355,Irreversibly Silent,0.11,3.71
0.9840177245846912,Active,0.11,3.81
0.0053838324180647355,Irreversibly Silent,0.11,3.81
0.9847835309986402,Active,0.11,3.91
0.0053838324180647355,Irreversibly Silent,0.11,3.91
0.985494002271066,Active,0.11,4.01
0.0053838324180647355,Irreversibly Silent,0.11,4.01
0.9861531350808527,Active,0.11,4.11
0.0053838324180647355,Irreversibly Silent,0.11,4.11
0.9867646349336258,Active,0.11,4.21
0.0053838324180647355,Irreversibly Silent,0.11,4.21
0.9873319352182137,Active,0.11,4.31
0.0053838324180647355,Irreversibly Silent,0.11,4.31
0.9878582140042662,Active,0.11,4.41
0.0053838324180647355,Irreversibly Silent,0.11,4.41
0.9883464538787947,Active,0.11,4.51
0.0053838324180647355,Irreversibly Silent,0.11,4.51
0.98879948153232,Active,0.11,4.61
0.0053838324180647355,Irreversibly Silent,0.11,4.61
0.9892197749739431,Active,0.11,4.71
0.0053838324180647355,Irreversibly Silent,0.11,4.71
0.9896096993629613,Active,0.11,4.81
0.0053838324180647355,Irreversibly Silent,0.11,4.81
0.9899714486496732,Active,0.11,4.91
0.0053838324180647355,Irreversibly Silent,0.11,4.91
0.9903070574909636,Active,0.11,5.01
0.0053838324180647355,Irreversibly Silent,0.11,5.01
0.6823517782176093,Active,0.21,0.01
0.01772265504400583,Irreversibly Silent,0.21,0.01
0.7040233540253865,Active,0.21,0.11
0.01772265504400583,Irreversibly Silent,0.21,0.11
0.7241290173210896,Active,0.21,0.21
0.01772265504400583,Irreversibly Silent,0.21,0.21
0.7427819153006527,Active,0.21,0.31
0.01772265504400583,Irreversibly Silent,0.21,0.31
0.7600870175380752,Active,0.21,0.41
0.01772265504400583,Irreversibly Silent,0.21,0.41
0.7761417128833471,Active,0.21,0.51
0.01772265504400583,Irreversibly Silent,0.21,0.51
0.791036354951996,Active,0.21,0.61
0.01772265504400583,Irreversibly Silent,0.21,0.61
0.8048547611680283,Active,0.21,0.71
0.01772265504400583,Irreversibly Silent,0.21,0.71
0.8176746910719745,Active,0.21,0.81
0.01772265504400583,Irreversibly Silent,0.21,0.81
0.8295682784435675,Active,0.21,0.91
0.01772265504400583,Irreversibly Silent,0.21,0.91
0.8406025031924652,Active,0.21,1.01
0.01772265504400583,Irreversibly Silent,0.21,1.01
0.8508394331491704,Active,0.21,1.11
0.01772265504400583,Irreversibly Silent,0.21,1.11
0.8603366763380965,Active,0.21,1.21
0.01772265504400583,Irreversibly Silent,0.21,1.21
0.8691476722023054,Active,0.21,1.31
0.01772265504400583,Irreversibly Silent,0.21,1.31
0.8773219831462515,Active,0.21,1.41
0.01772265504400583,Irreversibly Silent,0.21,1.41
0.8849056729916558,Active,0.21,1.51
0.01772265504400583,Irreversibly Silent,0.21,1.51
0.8919414104984682,Active,0.21,1.61
0.01772265504400583,Irreversibly Silent,0.21,1.61
0.8984687695167564,Active,0.21,1.71
0.01772265504400583,Irreversibly Silent,0.21,1.71
0.9045244804531245,Active,0.21,1.81
0.01772265504400583,Irreversibly Silent,0.21,1.81
0.9101426119305277,Active,0.21,1.91
0.01772265504400583,Irreversibly Silent,0.21,1.91
0.9153547536526457,Active,0.21,2.01
0.01772265504400583,Irreversibly Silent,0.21,2.01
0.9201902676940386,Active,0.21,2.11
0.01772265504400583,Irreversibly Silent,0.21,2.11
0.9246764634354256,Active,0.21,2.21
0.01772265504400583,Irreversibly Silent,0.21,2.21
0.9288385021508991,Active,0.21,2.31
0.01772265504400583,Irreversibly Silent,0.21,2.31
0.9326998051450331,Active,0.21,2.41
0.01772265504400583,Irreversibly Silent,0.21,2.41
0.9362820980029097,Active,0.21,2.51
0.01772265504400583,Irreversibly Silent,0.21,2.51
0.9396055283456153,Active,0.21,2.61
0.01772265504400583,Irreversibly Silent,0.21,2.61
0.9426887718391305,Active,0.21,2.71
0.01772265504400583,Irreversibly Silent,0.21,2.71
0.9455491821267529,Active,0.21,2.81
0.01772265504400583,Irreversibly Silent,0.21,2.81
0.9482030311249435,Active,0.21,2.91
0.01772265504400583,Irreversibly Silent,0.21,2.91
0.9506651221875826,Active,0.21,3.01
0.01772265504400583,Irreversibly Silent,0.21,3.01
0.9529493105734569,Active,0.21,3.11
0.01772265504400583,Irreversibly Silent,0.21,3.11
0.9550684487691655,Active,0.21,3.21
0.01772265504400583,Irreversibly Silent,0.21,3.21
0.9570344564424267,Active,0.21,3.31
0.01772265504400583,Irreversibly Silent,0.21,3.31
0.9588583835378579,Active,0.21,3.41
0.01772265504400583,Irreversibly Silent,0.21,3.41
0.9605504665152286,Active,0.21,3.51
0.01772265504400583,Irreversibly Silent,0.21,3.51
