,Regulator,Days with dox,Days after dox REAL,Days after dox,Biorep,Tube
0,KRAB,0,0,0.0,1,LB2013-06-25.079
1,KRAB,0,3,3.5,1,LB2013-06-28.051
2,KRAB,0,5,5.0,1,LB2013-06-30.027
3,KRAB,0,10,10.0,1,LB2013-07-05.007
4,KRAB,0,13,12.5,1,LB2013-07-08.071
5,KRAB,0,16,17.0,1,LB2013-07-11.067
6,KRAB,0,0,0.0,2,LB2014-03-24.007
7,KRAB,0,4,3.5,2,LB2014-03-28.007
8,KRAB,0,5,5.0,2,LB2014-03-29.007
9,KRAB,0,10,10.0,2,LB2014-04-03.009
10,KRAB,0,13,12.5,2,LB2014-04-06.007
11,KRAB,0,17,17.0,2,LB2014-04-10.007
18,KRAB,2,0,0.0,1,LB2013-06-25.081
19,KRAB,2,3,3.5,1,LB2013-06-28.053
20,KRAB,2,5,5.0,1,LB2013-06-30.035
21,KRAB,2,10,10.0,1,LB2013-07-05.009
22,KRAB,2,13,12.5,1,LB2013-07-08.073
23,KRAB,2,16,17.0,1,LB2013-07-11.069
24,KRAB,2,0,0.0,2,LB2014-03-24.009
25,KRAB,2,4,3.5,2,LB2014-03-28.009
26,KRAB,2,5,5.0,2,LB2014-03-29.009
27,KRAB,2,10,10.0,2,LB2014-04-03.011
28,KRAB,2,13,12.5,2,LB2014-04-06.009
29,KRAB,2,17,17.0,2,LB2014-04-10.009
36,KRAB,3,0,0.0,1,LB2013-06-25.082
37,KRAB,3,3,3.5,1,LB2013-06-28.054
38,KRAB,3,5,5.0,1,LB2013-06-30.039
39,KRAB,3,10,10.0,1,LB2013-07-05.010
40,KRAB,3,13,12.5,1,LB2013-07-08.074
41,KRAB,3,16,17.0,1,LB2013-07-11.070
42,KRAB,3,0,0.0,2,LB2014-03-24.010
43,KRAB,3,4,3.5,2,LB2014-03-28.010
44,KRAB,3,5,5.0,2,LB2014-03-29.010
45,KRAB,3,10,10.0,2,LB2014-04-03.012
46,KRAB,3,13,12.5,2,LB2014-04-06.010
47,KRAB,3,17,17.0,2,LB2014-04-10.010
54,KRAB,5,0,0.0,1,LB2013-06-25.084
55,KRAB,5,3,3.5,1,LB2013-06-28.056
56,KRAB,5,5,5.0,1,LB2013-06-30.047
57,KRAB,5,10,10.0,1,LB2013-07-05.012
58,KRAB,5,13,12.5,1,LB2013-07-08.076
59,KRAB,5,16,17.0,1,LB2013-07-11.072
60,KRAB,5,0,0.0,2,LB2014-03-24.012
61,KRAB,5,4,3.5,2,LB2014-03-28.012
62,KRAB,5,5,5.0,2,LB2014-03-29.012
63,KRAB,5,10,10.0,2,LB2014-04-03.014
64,KRAB,5,13,12.5,2,LB2014-04-06.012
65,KRAB,5,17,17.0,2,LB2014-04-10.012
72,HDAC4,0,0,0.0,1,LB2013-06-25.085
73,HDAC4,0,3,3.5,1,LB2013-06-28.057
74,HDAC4,0,5,5.0,1,LB2013-06-30.028
75,HDAC4,0,10,10.0,1,LB2013-07-05.013
76,HDAC4,0,13,12.5,1,LB2013-07-08.077
77,HDAC4,0,16,17.0,1,LB2013-07-11.073
78,HDAC4,0,0,0.0,2,LB2014-03-24.001
79,HDAC4,0,4,3.5,2,LB2014-03-28.001
80,HDAC4,0,5,5.0,2,LB2014-03-29.001
